iter	MultiClass	F1:class=0	F1:class=1	F1:class=2
0	1.091396363	0.01063829787	0.2033542977	0.8404308617
1	1.08438057	0	0.01818181818	0.8394910692
2	1.077543502	0	0.04353393086	0.8406223202
3	1.070778274	0	0.03612903226	0.8402497246
4	1.064364122	0	0.03104786546	0.8400440583
5	1.058035685	0	0.02597402597	0.8399804257
6	1.05182698	0	0.02083333333	0.8397749511
7	1.045800596	0	0.02083333333	0.8397749511
8	1.039917583	0	0.01566579634	0.8395695769
9	1.034107951	0	0.01825293351	0.8396722514
10	1.028444772	0	0.01307189542	0.8394669275
11	1.023061654	0	0.005249343832	0.8391591298
12	1.017592616	0	0.007863695937	0.8392617039
13	1.012499013	0	0.002628120894	0.8390565807
14	1.007326274	0	0	0.8390959071
15	1.002210883	0	0.002631578947	0.839198436
16	0.9972323878	0	0.002631578947	0.839198436
17	0.992345156	0	0.002631578947	0.839198436
18	0.9876390127	0	0.002631578947	0.839198436
19	0.983044688	0	0.002631578947	0.839198436
20	0.978603086	0	0.002631578947	0.839198436
21	0.9741714532	0	0.002631578947	0.839198436
22	0.9699385861	0	0.002631578947	0.839198436
23	0.9658606001	0	0.002631578947	0.839198436
24	0.9616563043	0	0.002631578947	0.839198436
25	0.9575754405	0	0.002631578947	0.839198436
26	0.9535854294	0	0.002631578947	0.839198436
27	0.9497734235	0	0.002631578947	0.839198436
28	0.9459108526	0	0.002631578947	0.839198436
29	0.9421150851	0	0.002631578947	0.839198436
30	0.9384159256	0	0.002631578947	0.839198436
31	0.9348905576	0	0.002631578947	0.839198436
32	0.9313238743	0	0.002631578947	0.839198436
33	0.9277613019	0	0.002631578947	0.839198436
34	0.924501503	0	0	0.8390959071
35	0.9211482821	0	0	0.8390959071
36	0.9179227071	0	0	0.8390959071
37	0.9147046346	0	0	0.8390959071
38	0.9115666233	0	0	0.8390959071
39	0.9084494753	0	0.002631578947	0.839198436
40	0.9055107436	0	0	0.8390959071
41	0.9026334711	0	0	0.8390959071
42	0.8996592823	0	0	0.8390959071
43	0.8969404879	0	0	0.8390959071
44	0.8941005224	0	0	0.8390959071
45	0.8912554183	0	0	0.8390959071
46	0.8885645785	0	0	0.8390959071
47	0.8859012823	0	0	0.8390959071
48	0.88333963	0	0	0.8390959071
49	0.8807174435	0	0	0.8390959071
50	0.8782396551	0	0	0.8390959071
51	0.8758156178	0	0	0.8390959071
52	0.8734466675	0	0	0.8390959071
53	0.8711346542	0	0	0.8390959071
54	0.8687796813	0	0	0.8390959071
55	0.8664232694	0	0	0.8390959071
56	0.8642541126	0	0	0.8390959071
57	0.8620821295	0	0	0.8390959071
58	0.8599903104	0	0	0.8390959071
59	0.8578526026	0	0	0.8390959071
60	0.8558586247	0	0	0.8390959071
61	0.8538696315	0	0	0.8390959071
62	0.8519560746	0	0	0.8390959071
63	0.8499209356	0	0	0.8390959071
64	0.8480111814	0	0	0.8390959071
65	0.8461363192	0	0	0.8390959071
66	0.8442782605	0	0	0.8390959071
67	0.8425126474	0	0	0.8390959071
68	0.8406984734	0	0	0.8390959071
69	0.8389087598	0	0	0.8390959071
70	0.8372218205	0	0	0.8390959071
71	0.8355459809	0	0	0.8390959071
72	0.8338716829	0	0	0.8390959071
73	0.8322472304	0	0	0.8390959071
74	0.8305664576	0	0	0.8390959071
75	0.8289151297	0	0	0.8390959071
76	0.8272957646	0	0	0.8390959071
77	0.8256802536	0	0	0.8390959071
78	0.8241884315	0	0	0.8390959071
79	0.8226207106	0	0	0.8390959071
80	0.8211426603	0	0	0.8390959071
81	0.8196987826	0	0	0.8390959071
82	0.8182553673	0	0	0.8390959071
83	0.8168051689	0	0	0.8390959071
84	0.8153824627	0	0	0.8390959071
85	0.8140679265	0	0	0.8390959071
86	0.8127350451	0	0	0.8390959071
87	0.8114737975	0	0	0.8390959071
88	0.8102248828	0	0	0.8390959071
89	0.8089439538	0	0	0.8390959071
90	0.8077609689	0	0	0.8390959071
91	0.8065024448	0	0	0.8390959071
92	0.8052117523	0	0	0.8390959071
93	0.8039745025	0	0	0.8390959071
94	0.8028402326	0	0	0.8390959071
95	0.8016595088	0	0	0.8390959071
96	0.8004779627	0	0.002631578947	0.839198436
97	0.7993874234	0	0.002631578947	0.839198436
98	0.798289176	0	0.002631578947	0.839198436
99	0.7971531076	0	0.002631578947	0.839198436
100	0.7960561448	0	0.002631578947	0.839198436
101	0.7949249582	0	0.002631578947	0.839198436
102	0.7939961858	0	0.002631578947	0.839198436
103	0.7929061604	0	0.002631578947	0.839198436
104	0.7918824244	0	0.002631578947	0.839198436
105	0.7909699932	0	0.002631578947	0.839198436
106	0.7900135744	0	0.002631578947	0.839198436
107	0.7890029936	0	0.002631578947	0.839198436
108	0.7880491443	0	0	0.8390959071
109	0.7871179567	0	0.002631578947	0.839198436
110	0.7861457621	0	0.002631578947	0.839198436
111	0.7853453549	0	0.002631578947	0.839198436
112	0.7844575381	0	0.002631578947	0.839198436
113	0.7835930511	0	0.002631578947	0.839198436
114	0.7827126855	0	0	0.8390959071
115	0.7818214258	0	0	0.8390959071
116	0.7809417795	0	0	0.8390959071
117	0.7801417321	0	0	0.8390959071
118	0.7792899891	0	0	0.8390959071
119	0.7783620903	0	0.002631578947	0.839198436
120	0.7776029471	0	0	0.8390959071
121	0.776832139	0	0	0.8390959071
122	0.7760174975	0	0	0.8390959071
123	0.775176957	0	0	0.8390959071
124	0.7744197665	0	0	0.8390959071
125	0.7736625246	0	0	0.8390959071
126	0.7728962385	0	0	0.8390959071
127	0.7722077013	0	0	0.8390959071
128	0.7715161323	0	0	0.8390959071
129	0.7707729705	0	0	0.8390959071
130	0.770035153	0	0	0.8390959071
131	0.7693078698	0	0	0.8390959071
132	0.7686594146	0	0	0.8390959071
133	0.7679943614	0	0	0.8390959071
134	0.7674068514	0	0	0.8390959071
135	0.7667529492	0	0	0.8390959071
136	0.7661355833	0	0	0.8390959071
137	0.7655013624	0	0.002631578947	0.839198436
138	0.764814264	0	0.002631578947	0.839198436
139	0.7642260347	0	0.002631578947	0.839198436
140	0.7636229544	0	0.002631578947	0.839198436
141	0.7629769144	0	0.002631578947	0.839198436
142	0.7623933613	0	0.002631578947	0.839198436
143	0.7618382766	0	0.002631578947	0.839198436
144	0.7612481459	0	0.002631578947	0.839198436
145	0.7607273366	0	0.002631578947	0.839198436
146	0.7601658286	0	0.002631578947	0.839198436
147	0.7596359751	0	0.005256241787	0.8393009899
148	0.7591146005	0	0.002631578947	0.839198436
149	0.7585102355	0	0.005256241787	0.8393009899
150	0.7580320775	0	0.002631578947	0.839198436
151	0.7574959548	0	0.002631578947	0.839198436
152	0.7569877867	0	0.002631578947	0.839198436
153	0.7563934936	0	0.002631578947	0.839198436
154	0.7558896935	0	0.002631578947	0.839198436
155	0.7553430363	0	0.002631578947	0.839198436
156	0.754863902	0	0.002631578947	0.839198436
157	0.7543067105	0	0.005256241787	0.8393009899
158	0.7537612353	0	0.005256241787	0.8393009899
159	0.753286623	0	0.005256241787	0.8393009899
160	0.75282902	0	0.005256241787	0.8393009899
161	0.7523945411	0	0.005256241787	0.8393009899
162	0.7518634543	0	0.005256241787	0.8393009899
163	0.7514457791	0	0.005256241787	0.8393009899
164	0.7510156682	0	0.005256241787	0.8393009899
165	0.750505496	0	0.005256241787	0.8393009899
166	0.7500531858	0	0.005256241787	0.8393009899
167	0.7495612046	0	0.005256241787	0.8393009899
168	0.7492115661	0	0.005256241787	0.8393009899
169	0.748808639	0	0.005256241787	0.8393009899
170	0.7484441495	0	0.005256241787	0.8393009899
171	0.7480350559	0	0.005256241787	0.8393009899
172	0.7476439479	0	0.005256241787	0.8393009899
173	0.7471924085	0	0.005256241787	0.8393009899
174	0.7467290501	0	0.005256241787	0.8393009899
175	0.7463609635	0	0.005256241787	0.8393009899
176	0.7459954977	0	0.005256241787	0.8393009899
177	0.7456685209	0	0.005256241787	0.8393009899
178	0.7453008454	0	0.005256241787	0.8393009899
179	0.7448775689	0	0.005256241787	0.8393009899
180	0.7445571697	0	0.005256241787	0.8393009899
181	0.7441831736	0	0.005256241787	0.8393009899
182	0.7438762892	0	0.005256241787	0.8393009899
