iter	Passed	Remaining
0	151	75757
1	247	61695
2	310	51412
3	363	45113
4	425	42095
5	479	39500
6	547	38527
7	595	36618
8	647	35315
9	711	34885
10	771	34275
11	821	33427
12	877	32855
13	934	32432
14	1014	32815
15	1065	32245
16	1130	32109
17	1195	32020
18	1267	32083
19	1333	32001
20	1387	31648
21	1436	31220
22	1492	30952
23	1541	30572
24	1622	30828
25	1674	30519
26	1747	30607
27	1801	30374
28	1858	30183
29	1912	29967
30	1965	29739
31	2025	29620
32	2083	29480
33	2144	29395
34	2198	29207
35	2249	28998
36	2303	28818
37	2356	28648
38	2408	28467
39	2464	28344
40	2511	28114
41	2562	27939
42	2633	27986
43	2680	27783
44	2741	27718
45	2820	27837
46	2876	27723
47	2938	27675
48	2990	27524
49	3056	27506
50	3132	27577
51	3194	27520
52	3243	27353
53	3298	27239
54	3359	27183
55	3436	27243
56	3489	27120
57	3540	26982
58	3593	26858
59	3654	26799
60	3706	26672
61	3758	26549
62	3808	26418
63	3866	26340
64	3929	26297
65	3981	26178
66	4042	26125
67	4092	25997
68	4144	25885
69	4210	25864
70	4275	25834
71	4336	25778
72	4397	25722
73	4446	25596
74	4500	25502
75	4559	25435
76	4611	25333
77	4671	25275
78	4725	25180
79	4790	25150
80	4841	25043
81	4886	24911
82	4937	24804
83	5004	24782
84	5070	24756
85	5124	24668
86	5187	24627
87	5244	24555
88	5312	24532
89	5381	24514
90	5428	24399
91	5479	24301
92	5538	24237
93	5596	24174
94	5649	24082
95	5701	23994
96	5761	23938
97	5812	23842
98	5876	23802
99	5935	23740
100	5994	23680
101	6071	23692
102	6122	23598
103	6185	23554
104	6237	23465
105	6287	23369
106	6347	23312
107	6415	23286
108	6476	23232
109	6529	23148
110	6582	23067
111	6632	22977
112	6684	22891
113	6736	22809
114	6798	22760
115	6875	22760
116	6934	22698
117	6985	22612
118	7042	22546
119	7117	22537
120	7177	22481
121	7236	22422
122	7303	22386
123	7381	22381
124	7430	22292
125	7496	22252
126	7552	22181
127	7606	22106
128	7652	22008
129	7713	21954
130	7782	21922
131	7845	21873
132	7893	21781
133	7957	21734
134	8011	21661
135	8063	21581
136	8120	21515
137	8173	21441
138	8233	21384
139	8290	21317
140	8351	21263
141	8420	21227
142	8488	21191
143	8542	21118
144	8601	21059
145	8659	20996
146	8709	20913
147	8760	20836
148	8818	20773
149	8888	20739
150	8950	20687
151	9012	20632
152	9065	20560
153	9135	20525
154	9191	20457
155	9248	20393
156	9300	20318
157	9375	20294
158	9437	20240
159	9487	20160
160	9544	20097
161	9594	20017
162	9656	19965
163	9704	19881
164	9754	19804
165	9823	19764
166	9876	19694
167	9938	19640
168	9985	19557
169	10046	19501
170	10093	19419
171	10156	19368
172	10209	19297
173	10268	19239
174	10332	19189
175	10388	19124
176	10436	19045
177	10488	18972
178	10553	18925
179	10603	18850
180	10656	18782
181	10728	18746
182	10784	18681
183	10843	18623
184	10891	18545
185	10962	18506
186	11014	18436
187	11063	18360
188	11119	18297
189	11176	18235
190	11226	18163
191	11288	18108
192	11344	18046
193	11401	17983
194	11455	17916
195	11511	17855
196	11560	17781
197	11627	17734
198	11693	17687
199	11746	17620
200	11797	17549
201	11851	17483
202	11899	17410
203	11952	17343
204	12013	17288
205	12064	17218
206	12115	17149
207	12169	17083
208	12233	17033
209	12301	16988
210	12350	16916
211	12408	16856
212	12456	16784
213	12509	16717
214	12556	16644
215	12616	16588
216	12668	16521
217	12717	16451
218	12786	16406
219	12833	16334
220	12881	16261
221	12928	16190
222	12980	16123
223	13035	16061
224	13091	16000
225	13156	15951
226	13205	15881
227	13257	15816
228	13314	15756
229	13365	15690
230	13418	15626
231	13475	15565
232	13528	15502
233	13586	15443
234	13647	15389
235	13694	15319
236	13769	15280
237	13822	15216
238	13876	15153
239	13926	15087
240	14002	15048
241	14068	14998
242	14121	14934
243	14171	14868
244	14222	14802
245	14280	14745
246	14326	14674
247	14371	14602
248	14426	14542
249	14478	14478
250	14525	14409
251	14581	14349
252	14627	14281
253	14684	14222
254	14735	14157
255	14793	14099
256	14847	14038
257	14903	13978
258	14950	13911
259	15017	13862
260	15065	13795
261	15120	13735
262	15198	13695
263	15255	13637
264	15309	13576
265	15361	13513
266	15434	13469
267	15489	13408
268	15552	13355
269	15609	13296
270	15656	13229
271	15720	13177
272	15778	13120
273	15835	13061
274	15893	13003
275	15952	12947
276	15999	12880
277	16045	12813
278	16106	12757
279	16163	12700
280	16211	12634
281	16283	12587
282	16331	12522
283	16394	12469
284	16441	12403
285	16487	12337
286	16536	12273
287	16592	12213
288	16672	12172
289	16726	12112
290	16777	12050
291	16830	11988
292	16881	11926
293	16929	11862
294	16976	11797
295	17028	11736
296	17082	11676
297	17130	11611
298	17179	11548
299	17241	11494
300	17293	11433
301	17351	11376
302	17407	11317
303	17463	11259
304	17523	11203
305	17593	11154
306	17644	11092
307	17694	11030
308	17745	10968
309	17791	10904
310	17836	10839
311	17887	10778
312	17933	10714
313	17993	10658
314	18043	10597
315	18109	10544
316	18159	10483
317	18209	10421
318	18256	10358
319	18315	10302
320	18374	10245
321	18420	10182
322	18467	10119
323	18515	10057
324	18567	9998
325	18617	9937
326	18684	9885
327	18736	9825
328	18796	9769
329	18847	9709
330	18899	9649
331	18955	9591
332	19024	9540
333	19070	9478
334	19121	9418
335	19171	9357
336	19225	9299
337	19281	9241
338	19327	9179
339	19385	9122
340	19448	9068
341	19497	9007
342	19553	8950
343	19598	8887
344	19649	8827
345	19707	8771
346	19756	8711
347	19819	8656
348	19880	8601
349	19937	8544
350	19993	8487
351	20045	8428
352	20110	8374
353	20155	8312
354	20207	8253
355	20253	8192
356	20313	8136
357	20363	8077
358	20411	8016
